,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19630701,-0.71,-0.78,-0.68,-0.67,-0.66,-0.64
19630702,0.66,0.62,0.32,0.77,0.76,0.94
19630703,0.42,0.32,0.6,0.48,0.76,0.57
19630705,0.43,0.48,0.58,0.49,0.41,0.48
19630708,-0.41,-0.55,-0.68,-0.47,-0.54,-0.75
19630709,0.23,0.6,0.68,0.6,0.4,0.44
19630710,-0.06,0.2,-0.06,-0.28,-0.17,-0.19
19630711,-0.08,0.11,-0.18,-0.24,-0.07,-0.21
19630712,-0.2,-0.09,0.04,-0.11,-0.06,-0.15
19630715,-0.62,-0.58,-0.39,-0.63,-0.7,-0.55
19630716,-0.01,-0.1,-0.25,-0.2,-0.01,-0.05
19630717,-0.48,-0.28,-0.33,-0.28,-0.24,-0.36
19630718,-0.32,-0.29,-0.29,-0.53,-0.42,-0.7
19630719,-0.29,-0.41,-0.23,-0.46,-0.09,-0.2
19630722,-0.77,-0.82,-1.01,-0.96,-0.62,-0.66
19630723,-0.11,-0.08,-0.03,-0.04,0.22,-0.06
19630724,0.41,0.39,0.39,0.72,0.44,0.5
19630725,0.24,0.2,-0.15,-0.26,0.13,-0.18
19630726,0.38,0.06,0.42,0.52,0.29,0.48
19630729,-0.07,0.06,0.02,0.17,0.13,0.15
19630730,0.55,0.61,0.73,0.62,0.59,1.4
19630731,0.04,-0.02,-0.06,-0.04,-0.08,-0.2
19630801,-0.26,-0.04,-0.31,-0.3,-0.07,0.01
19630802,0.24,0.19,0.16,0.36,0.29,0.35
19630805,0.19,0.19,0.35,0.81,0.45,0.67
19630806,0.19,0.28,0.41,0.85,0.66,0.59
19630807,-0.15,-0.3,-0.09,-0.04,-0.08,-0.42
19630808,0.04,0.05,0.09,-0.19,0.19,0.27
19630809,0.49,0.52,0.56,0.53,0.56,0.75
19630812,0.56,0.42,0.45,0.28,0.19,0.21
19630813,-0.04,0.25,0.04,0.34,0.19,0.36
19630814,0.41,0.17,0.36,0.5,0.44,0.19
19630815,0.29,0.3,0.07,0.62,0.4,0.51
19630816,0.16,0.36,0.09,0.02,0.12,0.26
19630819,-0.04,-0.11,-0.22,-0.11,0.04,-0.09
19630820,0.01,-0.16,0,-0.17,0.03,-0.09
19630821,0.22,0.23,0.27,0.05,-0.24,-0.09
19630822,0.6,0.59,0.4,0.64,0.13,0.6
19630823,0.32,0.45,0.27,0.29,0.36,0.42
19630826,0.09,-0.06,0.3,0.16,0.24,0.13
19630827,-0.45,-0.37,-0.3,-0.52,-0.27,-0.59
19630828,0.95,0.74,0.96,0.74,0.64,0.84
19630829,0.35,0.16,0.46,0.15,0.17,0.25
19630830,0.63,0.35,0.73,0.38,0.38,0.57
19630903,0.28,0.46,0.32,0.38,0.13,0.33
19630904,0.22,0.02,-0.06,0.32,-0.06,-0.1
19630905,0.4,0.55,0.22,0.61,0.41,0.62
19630906,-0.43,-0.29,-0.41,-0.25,-0.41,0
19630909,-0.64,-0.5,-0.47,-0.39,-0.24,-0.38
19630910,0.66,0.46,0.34,0.52,0.36,0.82
19630911,0.17,0.08,-0.07,0.34,0.23,0.33
19630912,0.22,-0.02,-0.18,-0.22,-0.01,-0.16
19630913,0.59,0.29,0.22,0.1,0.05,-0.09
19630916,-0.2,0.11,-0.04,0.08,-0.17,-0.17
19630917,-0.18,-0.21,0.06,0.14,0.07,0.03
19630918,-0.36,-0.32,-0.48,-0.59,-0.17,-0.66
19630919,0.23,0.16,0.32,0.58,0.44,0.77
19630920,0.23,-0.2,-0.01,-0.17,-0.06,0.24
19630923,-0.57,-0.72,-0.58,-0.82,-0.26,-0.57
19630924,0.07,0.06,0.16,0.32,0.68,0.15
19630925,-0.39,-0.91,-1.13,-0.67,-0.43,-0.68
19630926,-0.53,-0.2,-0.52,-1.02,-0.54,-1.15
19630927,-0.18,0.2,0.25,-0.12,-0.22,-0.17
19630930,-0.57,-0.45,-0.39,-0.84,-0.61,-0.55
19631001,0.52,0.41,0.4,0.55,0.87,0.55
19631002,0.01,-0.1,0.07,0.21,0.11,0.16
19631003,0.6,0.74,0.48,1.3,0.5,0.71
19631004,-0.09,0.18,-0.01,0.15,-0.02,0.03
19631007,0.09,-0.07,-0.19,-0.12,-0.25,-0.23
19631008,0.1,0.13,0.06,-0.12,-0.2,-0.08
19631009,-0.27,-0.52,-0.84,-1.07,-0.56,-0.55
19631010,0.11,-0.04,0.13,0.08,0.02,0.21
19631011,0.51,0.59,0.41,0.14,0,0.23
19631014,-0.05,-0.07,0.22,0.27,-0.08,0.2
19631015,-0.26,-0.1,-0.09,0.28,0.14,0.23
19631016,0.65,0.51,0.56,0.78,0.88,1.09
19631017,0.18,0.31,0.14,-0.02,-0.06,0.45
19631018,0.25,0.19,0.18,-0.17,-0.02,0.29
19631021,-0.26,-0.58,0.17,-0.37,0.04,0.28
19631022,-0.24,-0.43,-0.49,-1.25,-0.49,-0.37
19631023,-0.05,-0.32,0.11,0.09,0.01,0.08
19631024,0.45,0.19,0.44,0.28,0.33,0.46
19631025,0.22,0.85,0.28,0.31,0.81,1.45
19631028,-0.47,-0.37,-0.11,0.05,0.28,1.02
19631029,-0.23,-0.15,-0.33,-0.18,-0.32,0.43
19631030,-0.5,-0.25,-0.33,-0.54,-0.65,-1.13
19631031,0.21,0.18,0.23,0.2,0.14,0.38
19631101,0.12,0.21,-0.22,-0.19,-0.15,-0.29
19631104,-0.45,-0.24,-0.37,-0.31,-0.14,-0.81
19631106,-0.45,-0.7,-0.79,-0.74,-0.89,-0.67
19631107,0.46,0.53,0.06,0.13,0.43,0.32
19631108,0.5,0.63,0.63,0.54,0.58,0.57
19631111,0.35,0.45,0.58,0.25,0.12,0.27
19631112,-0.28,0.01,-0.28,-0.73,-0.37,-0.34
19631113,0.14,-0.01,0.12,-0.14,0.2,0.04
19631114,-0.15,-0.45,-0.37,-0.3,-0.57,-0.31
19631115,-0.42,-0.35,-0.63,-0.95,-0.63,-0.96
19631118,-0.82,-0.46,-0.67,-0.98,-0.82,-0.56
19631119,-0.01,-0.22,-0.21,0.25,0.08,0.17
19631120,-0.54,-0.15,-0.18,0.01,1.7,0.27
19631121,-1.32,-1.39,-1.43,-1.04,-1.02,-1.66
19631122,-3.9,-3.31,-3.31,-3.37,-3.04,-2.54
19631126,3.15,3.25,2.79,4.7,3.99,4.06
19631127,0.36,-0.11,0.35,-0.04,-0.28,-0.12
19631129,2.07,1.49,1.69,1.63,1.27,1.37
19631202,-0.02,0.53,0.14,0.08,0.56,0.81
19631203,-0.09,-0.19,-0.12,-0.33,0.01,-0.02
19631204,0.23,0.82,0.27,0.36,0.41,0.04
19631205,0.06,-0.01,-0.2,0.67,0.76,0.53
19631206,-0.17,0.03,-0.3,-0.3,-0.24,-0.48
19631209,-0.15,-0.26,0.04,-0.24,0.02,-0.21
19631210,0.02,-0.28,0.15,-0.05,0.02,0.23
19631211,-0.08,-0.23,-0.26,-0.03,-0.03,-0.39
19631212,-0.27,-0.13,0,0.09,-0.02,0.03
19631213,0.19,-0.13,0.29,0.52,0.09,0.09
19631216,-0.17,-0.14,-0.06,0.37,0.29,0.32
19631217,-0.14,0.04,-0.08,0.61,0.26,0.86
19631218,-0.35,-0.22,-0.4,0.28,-0.06,-0.48
19631219,-0.55,-0.33,-0.46,-0.41,-0.11,-0.5
