Dow Jones,S&P 500,NASDAQ
17905.58,2095.84,5059.12
17849.46,2092.83,5068.46
17766.55,2079.28,5021.63
17764.04,2080.15,5013.87
18000.4,2105.2,5076.69
18039.37,2108.86,5082.51
17898.84,2094.11,5051.1
17791.17,2084.43,5029.97
17904.48,2096.29,5055.55
17935.74,2100.44,5064.88
18115.84,2121.24,5132.95
18015.95,2109.99,5117.0
18119.78,2122.85,5153.97
18144.07,2124.2,5160.09
17966.07,2108.58,5122.41
17890.36,2102.31,5112.19
17946.68,2101.49,5080.51
17596.35,2057.64,4958.47
17619.51,2063.11,4986.87
17757.91,2077.42,5013.12
17730.11,2076.78,5009.21
,,
17683.58,2068.76,4991.94
17776.91,2081.34,4997.46
17515.42,2046.68,4909.76
17548.62,2051.31,4922.4
17760.41,2076.62,4997.7
17977.68,2099.6,5071.51
18053.58,2108.95,5104.89
18050.17,2107.4,5098.94
18120.25,2124.29,5163.18
18086.45,2126.64,5210.14
18100.41,2128.28,5218.86
17919.29,2119.21,5208.12
17851.04,2114.15,5171.77
17731.92,2102.15,5146.41
17568.53,2079.65,5088.63
17440.59,2067.64,5039.78
17630.27,2093.25,5089.21
17751.39,2108.57,5111.73
17745.98,2108.63,5128.78
17689.86,2103.84,5128.28
17598.2,2098.04,5115.38
17550.69,2093.32,5105.55
17540.47,2099.84,5139.94
17419.75,2083.56,5056.44
17373.38,2077.57,5043.54
17615.17,2104.18,5101.8
17402.84,2084.07,5036.79
17402.51,2086.05,5044.39
17408.25,2083.39,5033.56
17477.4,2091.54,5048.24
17545.18,2102.44,5091.7
17511.34,2096.92,5059.35
17348.73,2079.61,5019.05
16990.69,2035.73,4877.49
16459.75,1970.89,4706.04
15871.35,1893.21,4526.25
15666.44,1867.61,4506.49
16285.51,1940.51,4697.54
16654.77,1987.66,4812.71
16643.01,1988.87,4828.32
16528.03,1972.18,4776.51
16058.35,1913.85,4636.11
16351.38,1948.86,4749.98
16374.76,1951.13,4733.5
16102.38,1921.22,4683.92
,,
16492.68,1969.41,4811.93
16253.57,1942.04,4756.53
16330.4,1952.29,4796.25
16433.09,1961.05,4822.34
16370.96,1953.03,4805.76
16599.85,1978.09,4860.52
16739.95,1995.31,4889.24
16674.74,1990.2,4893.95
16384.58,1958.03,4827.23
16510.19,1966.97,4828.95
16330.47,1942.74,4756.72
16279.89,1938.76,4752.74
16201.32,1932.24,4734.48
16314.67,1931.34,4686.5
16001.89,1881.77,4543.97
16049.13,1884.09,4517.32
16284.7,1920.03,4620.16
16272.01,1923.82,4627.08
16472.37,1951.36,4707.78
16776.43,1987.05,4781.26
16790.19,1979.92,4748.36
16912.29,1995.83,4791.15
17050.75,2013.43,4810.79
17084.49,2014.89,4830.47
17131.86,2017.46,4838.64
17081.89,2003.69,4796.61
16924.75,1994.24,4782.85
17141.75,2023.86,4870.1
17215.97,2033.11,4886.69
17230.54,2033.66,4905.47
17217.11,2030.77,4880.97
17168.61,2018.94,4840.12
17489.16,2052.51,4920.05
17646.7,2075.15,5031.86
17623.05,2071.18,5034.7
17581.43,2065.89,5030.15
17779.52,2090.35,5095.69
17755.8,2089.41,5074.27
17663.54,2079.36,5053.75
17828.76,2104.05,5127.15
17918.15,2109.79,5145.13
17867.58,2102.31,5142.48
17863.43,2099.93,5127.74
17910.33,2099.2,5147.12
17730.48,2078.58,5095.3
17758.21,2081.72,5083.24
17702.22,2075.0,5067.02
17448.07,2045.97,5005.08
17245.24,2023.04,4927.88
17483.01,2053.19,4984.62
17489.5,2050.44,4986.01
17737.16,2083.58,5075.2
17732.75,2081.24,5073.64
17823.81,2089.17,5104.92
17792.68,2086.59,5102.48
17812.19,2089.14,5102.81
17813.39,2088.87,5116.14
,,
17798.49,2090.11,5127.52
17719.92,2080.41,5108.67
17888.35,2102.63,5156.31
17729.68,2079.51,5123.22
17477.67,2049.62,5037.53
17847.63,2091.69,5142.27
17730.51,2077.07,5101.81
17568.0,2063.59,5098.24
17492.3,2047.62,5022.87
17574.75,2052.23,5045.17
17265.21,2012.37,4933.47
17368.5,2021.94,4952.23
17524.91,2043.41,4995.36
17749.09,2073.07,5071.13
17495.84,2041.89,5002.55
17128.55,2005.55,4923.08
17251.62,2021.15,4968.92
17417.27,2038.97,5001.11
17602.61,2064.29,5045.93
17552.17,2060.99,5048.49
,,
17528.27,2056.5,5040.99
17720.98,2078.36,5107.94
17603.87,2063.36,5065.85
17425.03,2043.94,5007.41
,,
17148.94,2012.66,4903.09
17158.66,2016.71,4891.43
16906.51,1990.26,4835.76
16514.1,1943.09,4689.43
16346.45,1922.03,4643.63
16398.57,1923.67,4637.99
16516.22,1938.68,4685.92
16151.41,1890.28,4526.06
16379.05,1921.84,4615.0
15988.08,1880.33,4488.42
,,
16016.02,1881.33,4476.95
15766.74,1859.33,4471.69
15882.68,1868.99,4472.06
16093.51,1906.9,4591.18
15885.22,1877.08,4518.49
16167.23,1903.63,4567.67
15944.46,1882.95,4468.17
16069.64,1893.36,4506.68
16466.3,1940.24,4613.95
16449.18,1939.38,4620.37
16153.54,1903.03,4516.95
16336.66,1912.53,4504.24
16416.58,1915.45,4509.56
16204.97,1880.05,4363.14
16027.05,1853.44,4283.75
16014.38,1852.21,4268.76
15914.74,1851.86,4283.59
15660.18,1829.08,4266.84
15973.84,1864.78,4337.51
,,
16196.41,1895.58,4435.96
16453.83,1926.82,4534.06
16413.43,1917.83,4487.54
16391.99,1917.78,4504.43
16620.66,1945.5,4570.61
16431.78,1921.27,4503.58
16484.99,1929.8,4542.61
16697.29,1951.7,4582.2
16639.97,1948.05,4590.47
16516.5,1932.23,4557.95
16865.08,1978.35,4689.6
16899.32,1986.45,4703.42
16943.9,1993.4,4707.42
17006.77,1999.99,4717.02
17073.95,2001.76,4708.25
16964.1,1979.26,4648.82
17000.36,1989.26,4674.38
16995.13,1989.57,4662.16
17213.31,2022.19,4748.47
17229.13,2019.64,4750.28
17251.53,2015.93,4728.67
17325.76,2027.22,4763.97
17481.49,2040.59,4774.99
17602.3,2049.58,4795.65
17623.87,2051.6,4808.87
17582.57,2049.8,4821.66
17502.59,2036.71,4768.86
17515.73,2035.94,4773.51
,,
17535.39,2037.05,4766.79
17633.11,2055.01,4846.62
17716.66,2063.95,4869.29
17685.09,2059.74,4869.85
17792.75,2072.78,4914.54
17737.0,2066.13,4891.8
17603.32,2045.17,4843.93
17716.05,2066.66,4920.72
17541.96,2041.91,4848.37
17576.96,2047.6,4850.69
17556.41,2041.99,4833.4
17721.25,2061.72,4872.09
17908.28,2082.42,4947.42
17926.43,2082.78,4945.89
17897.46,2080.73,4938.22
18004.16,2094.34,4960.02
18053.6,2100.8,4940.33
18096.27,2102.4,4948.13
17982.52,2091.48,4945.89
18003.75,2091.58,4906.23
17977.24,2087.79,4895.79
17990.32,2091.7,4888.28
18041.55,2095.15,4863.14
17830.76,2075.81,4805.29
17773.64,2065.3,4775.36
17891.16,2081.43,4817.59
17750.91,2063.37,4763.22
17651.26,2051.12,4725.64
17660.71,2050.63,4717.09
17740.63,2057.14,4736.16
17705.91,2058.69,4750.21
17928.35,2084.39,4809.88
17711.12,2064.46,4760.69
17720.5,2064.11,4737.33
17535.32,2046.61,4717.68
17710.71,2066.66,4775.46
17529.98,2047.21,4715.73
17526.62,2047.63,4739.12
17435.4,2040.04,4712.53
17500.94,2052.32,4769.56
17492.93,2048.04,4765.78
17706.05,2076.06,4861.06
17851.51,2090.54,4894.89
17828.29,2090.1,4901.77
17873.22,2099.06,4933.5
,,
17787.2,2096.96,4948.05
17789.67,2099.33,4952.25
17838.56,2105.26,4971.36
17807.06,2099.13,4942.52
17920.33,2109.41,4968.71
17938.28,2112.13,4961.75
18005.05,2119.12,4974.64
17985.19,2115.48,4958.62
17865.34,2096.07,4894.55
17732.48,2079.06,4848.44
17674.82,2075.32,4843.55
17640.17,2071.5,4834.93
17733.1,2077.99,4844.91
17675.16,2071.22,4800.34
17804.87,2083.25,4837.21
17829.73,2088.9,4843.76
17780.83,2085.45,4833.32
18011.07,2113.32,4910.04
17400.75,2037.41,4707.98
17140.24,2000.54,4594.44
17409.72,2036.09,4691.87
17694.68,2070.77,4779.25
17929.99,2098.86,4842.67
17949.37,2102.95,4862.57
,,
17840.62,2088.55,4822.9
17918.62,2099.73,4859.16
17895.88,2097.9,4876.81
18146.74,2129.9,4956.76
18226.93,2137.16,4988.64
18347.67,2152.14,5022.82
18372.12,2152.43,5005.73
18506.41,2163.75,5034.06
18516.55,2161.74,5029.59
18533.05,2166.89,5055.78
18559.01,2163.78,5036.37
18595.03,2173.02,5089.93
18517.23,2165.17,5073.9
18570.85,2175.03,5100.16
18493.06,2168.48,5097.63
18473.75,2169.18,5110.05
18472.17,2166.58,5139.81
18456.35,2170.06,5154.98
18432.24,2173.6,5162.13
18404.51,2170.84,5184.2
18313.77,2157.03,5137.73
18355.0,2163.79,5159.74
18352.05,2164.25,5166.25
18543.53,2182.87,5221.12
18529.29,2180.89,5213.14
18533.05,2181.74,5225.48
18495.66,2175.49,5204.58
18613.52,2185.79,5228.4
18576.47,2184.05,5232.89
18636.05,2190.15,5262.02
18552.02,2178.15,5227.11
18573.94,2182.22,5228.66
18597.7,2187.02,5240.15
18552.57,2183.87,5238.38
18529.42,2182.64,5244.6
18547.3,2186.9,5260.08
18481.48,2175.44,5217.69
18448.41,2172.47,5212.2
18395.4,2169.04,5218.92
18502.99,2180.38,5232.33
18454.3,2176.12,5222.99
18400.88,2170.95,5213.22
18419.3,2170.86,5227.21
18491.96,2179.98,5249.9
,,
18538.12,2186.48,5275.91
18526.14,2186.16,5283.93
18479.91,2181.3,5259.48
18085.45,2127.81,5125.91
18325.07,2159.04,5211.89
18066.75,2127.02,5155.25
18034.77,2125.77,5173.77
18212.48,2147.26,5249.69
18123.8,2139.16,5244.57
18120.17,2139.12,5235.03
18129.96,2139.76,5241.35
18293.7,2163.12,5295.18
18392.46,2177.18,5339.52
18261.45,2164.69,5305.75
18094.83,2146.1,5257.49
18228.3,2159.93,5305.71
18339.24,2171.37,5318.55
18143.45,2151.13,5269.15
18308.15,2168.27,5312.0
18253.85,2161.2,5300.87
18168.45,2150.49,5289.66
18281.03,2159.73,5316.02
18268.5,2160.77,5306.85
18240.49,2153.74,5292.4
18329.04,2163.66,5328.67
18128.66,2136.73,5246.79
18144.2,2139.18,5239.02
